DESIGNATOR,SIDE,X-POSITION,Y-POSITION,ROTATION,MOUNTTYPE,FOOTPRINT,COMPONENT VALUE,AISLER PART SKU,ID
C1,top,12.50,38.09,-90,smt,1210C,10U_25V,2111789251
C10,top,33.82,9.76,180,smt,0402C,100N,N/A,1307390871
C11,top,18.61,28.99,90,smt,0603C,10U,N/A,1786997166
C12,top,28.51,26.86,-90,smt,0402C,100N,N/A,1307390871
C13,top,30.80,12.43,90,smt,0402C,100N,N/A,1307390871
C14,top,26.43,14.56,-90,smt,0402C,2U2,N/A,1786997166
C15,top,24.14,15.65,180,smt,0402C,2U2,N/A,1786997166
C16,top,25.14,20.61,90,smt,0402C,100N,N/A,1307390871
C17,top,29.50,13.83,90,smt,0402C,100N,N/A,1307390871
C18,top,35.07,17.00,180,smt,0402C,100N,N/A,1307390871
C19,top,23.94,17.05,0,smt,0402C,100N,N/A,1307390871
C2,top,7.55,45.29,0,smt,0805C,1U,N/A,1324364214
C20,top,29.48,26.70,-90,smt,0402C,100N,N/A,1307390871
C21,top,39.97,7.43,-90,smt,0603C,1N,N/A,342580986
C22,top,35.50,21.67,180,smt,0402C,100N,N/A,1307390871
C23,top,24.55,18.02,0,smt,0402C,100N,N/A,1307390871
C24,top,63.72,26.65,180,smt,0603C,100N,N/A,77539020
C25,top,59.93,25.43,180,smt,0603C,100N,N/A,77539020
C26,top,59.60,27.62,0,smt,0603C,100N,N/A,77539020
C27,top,45.40,32.42,90,smt,0603C,100N,N/A,77539020
C3,top,16.40,29.09,90,smt,0603C,100N,N/A,77539020
C4,top,12.50,32.19,90,smt,1210C,22U_16V,73a83e18-4f79-4d24-aac0-ec15e07368cc,875499564
C5,top,3.60,26.39,-90,smt,1210C,10U_25V,822bc4ed-b7a3-4e74-8eae-187f2efcd3c1,2111789251
C6,top,28.03,34.10,180,smt,0603C,27P,N/A,126099779
C7,top,23.54,28.05,180,smt,0603C,27P,N/A,126099779
C8,top,53.51,15.35,180,smt,0603C,100N,N/A,77539020
D1,top,49.67,16.57,90,smt,SOT-23,SP0502BAHT,86151603-7fbc-47a3-8982-539c3e6cc4e1,1351311219
D10,top,22.31,49.97,0,smt,SOD-123F,SOD4007,c8652a1a-55c6-4bca-b513-d848161035cd,1490228373
D3,top,6.77,54.47,-90,smt,SOD-123F,SOD4007,c8652a1a-55c6-4bca-b513-d848161035cd,1490228373
D4,top,27.73,10.40,180,smt,SOT-23,SP0502BAHT,86151603-7fbc-47a3-8982-539c3e6cc4e1,1351311219
D5,top,24.49,6.96,-90,smt,DO-214AC,SMAJ12CA,ea6ae24a-4c0b-4012-aea0-165656c22738,1001330357
D6,top,64.13,24.25,0,smt,SOT-23,SP0502BAHT,86151603-7fbc-47a3-8982-539c3e6cc4e1,1351311219
D9,top,14.26,54.47,-90,smt,SOD-123F,SOD4007,c8652a1a-55c6-4bca-b513-d848161035cd,1490228373
F1,top,8.93,7.60,180,smt,1812,1812L075PR,37c7ce53-6f90-46b6-9e75-ff9c44d7ea26,1225749766
