Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u 25V","C_1210_3225Metric",78.500000,-119.500000,-90.000000,top
"C2","1u","C_0805_2012Metric",73.550000,-112.300000,0.000000,top
"C3","100n","C_0603_1608Metric",82.400000,-128.500000,90.000000,top
"C4","22u 16V","C_1210_3225Metric",78.500000,-125.400000,90.000000,top
"C5","10u 25v","C_1210_3225Metric",69.600000,-131.200000,-90.000000,top
"C6","27p","C_0603_1608Metric",94.030800,-123.494800,180.000000,top
"C7","27p","C_0603_1608Metric",89.535000,-129.540000,180.000000,top
"C8","100n","C_0603_1608Metric",119.507000,-142.240000,180.000000,top
"C10","100n","C_0402_1005Metric",99.822000,-147.828000,180.000000,top
"C11","10u","C_0603_1608Metric",84.607400,-128.600200,90.000000,top
"C12","100n","C_0402_1005Metric",94.513400,-130.731200,-90.000000,top
"C13","100n","C_0402_1005Metric",96.799400,-145.161000,90.000000,top
"C14","2.2u","C_0402_1005Metric",92.430600,-143.030000,-90.000000,top
"C15","2.2u","C_0402_1005Metric",90.144600,-141.935200,180.000000,top
"C16","100n","C_0402_1005Metric",91.135200,-136.982200,90.000000,top
"C17","100n","C_0402_1005Metric",95.499000,-143.764000,90.000000,top
"C18","100n","C_0402_1005Metric",101.066600,-140.589000,180.000000,top
"C19","100n","C_0402_1005Metric",89.936400,-140.538200,0.000000,top
"C20","100n","C_0402_1005Metric",95.478600,-130.886200,-90.000000,top
"C21","1n","C_0603_1608Metric",105.968800,-150.164800,-90.000000,top
"C22","100n","C_0402_1005Metric",101.498400,-135.915400,180.000000,top
"C23","100n","C_0402_1005Metric",90.546000,-139.573000,0.000000,top
"C24","100n","C_0603_1608Metric",129.717800,-130.937000,180.000000,top
"C25","100n","C_0603_1608Metric",125.933200,-132.156200,180.000000,top
"C26","100n","C_0603_1608Metric",125.603000,-129.971800,0.000000,top
"C27","100n","C_0603_1608Metric",111.404400,-125.171200,90.000000,top
"D1","SP0502BAHT","SOT-23",115.671600,-141.020800,90.000000,top
"D3","SOD4007","D_SOD-123F",72.771000,-103.121000,-90.000000,top
